epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1143.24,0.80884,1.03578,1.105,0.9717,0.95372,0.9824,0.79646,0.70703,1.05019,1.21233,0.000654088,0.000654088,0.000654088
2,2485.65,0.77072,0.52816,1.10549,0.77714,0.95983,0.9651,0.75276,0.78071,2.27476,1.27294,0.0012946,0.0012946,0.0012946
3,3385.59,0.79935,0.51063,1.11164,0.94457,0.97727,0.98098,0.74017,0.84121,0.77249,1.34292,0.00190872,0.00190872,0.00190872
4,4307.75,0.77827,0.48212,1.11068,0.95472,0.97727,0.97374,0.78159,0.73378,0.53192,1.25217,0.0018812,0.0018812,0.0018812
5,5217.37,0.75241,0.46313,1.08378,0.96721,0.96823,0.97563,0.79003,0.67631,0.51131,1.16638,0.0018416,0.0018416,0.0018416
6,6132.71,0.74636,0.4422,1.09224,0.97122,0.98485,0.99303,0.79271,0.71519,0.39339,1.2245,0.001802,0.001802,0.001802
7,7036.63,0.70121,0.41993,1.06471,0.96028,0.97687,0.99046,0.8052,0.71769,0.45565,1.19761,0.0017624,0.0017624,0.0017624
8,7960.68,0.72023,0.42834,1.07758,0.97505,0.9798,0.99013,0.82073,0.69348,0.40492,1.17691,0.0017228,0.0017228,0.0017228
9,8878.5,0.72318,0.42848,1.0691,0.95489,0.96218,0.98776,0.83983,0.66776,0.44505,1.15848,0.0016832,0.0016832,0.0016832
10,9785.07,0.67454,0.40556,1.0501,0.9764,0.97222,0.9889,0.79101,0.7269,0.4584,1.20564,0.0016436,0.0016436,0.0016436
11,10697.3,0.67965,0.40959,1.05425,0.97098,0.9798,0.99321,0.84221,0.67512,0.39498,1.18007,0.001604,0.001604,0.001604
12,11624.2,0.66074,0.38569,1.03062,0.96935,0.98737,0.99343,0.82092,0.67276,0.35261,1.16848,0.0015644,0.0015644,0.0015644
13,12547,0.66866,0.38999,1.05132,0.97964,0.97475,0.98982,0.81728,0.7018,0.35842,1.18409,0.0015248,0.0015248,0.0015248
14,13462.9,0.66972,0.38327,1.04176,0.96125,0.98232,0.98761,0.82041,0.65723,0.38386,1.17737,0.0014852,0.0014852,0.0014852
15,14383.6,0.65301,0.38092,1.04977,0.95575,0.98174,0.99145,0.8388,0.64689,0.38948,1.16759,0.0014456,0.0014456,0.0014456
16,15304.2,0.64309,0.37613,1.02457,0.9749,0.98737,0.99249,0.86004,0.60734,0.3197,1.12217,0.001406,0.001406,0.001406
17,16229.7,0.64593,0.36275,1.0352,0.97262,0.9867,0.99366,0.83398,0.61928,0.33293,1.14812,0.0013664,0.0013664,0.0013664
18,17143.2,0.6373,0.36683,1.04027,0.97592,0.98737,0.99218,0.84216,0.62125,0.32227,1.13902,0.0013268,0.0013268,0.0013268
19,18055,0.63295,0.35979,1.03249,0.97259,0.98548,0.99402,0.86406,0.63928,0.32465,1.13224,0.0012872,0.0012872,0.0012872
20,18991.9,0.61623,0.36054,1.01891,0.97027,0.9891,0.99387,0.85175,0.61594,0.32577,1.16183,0.0012476,0.0012476,0.0012476
21,19912.6,0.61693,0.35593,1.0238,0.97786,0.98737,0.99349,0.86673,0.61079,0.32154,1.12087,0.001208,0.001208,0.001208
22,20852.1,0.6187,0.33887,1.02359,0.97666,0.97727,0.99321,0.8725,0.58821,0.32222,1.10398,0.0011684,0.0011684,0.0011684
23,21779.4,0.6072,0.33878,0.99958,0.97468,0.98737,0.99391,0.86962,0.62227,0.31544,1.14896,0.0011288,0.0011288,0.0011288
24,22712.7,0.59954,0.33908,1.0108,0.98344,0.97727,0.99365,0.86245,0.60012,0.30113,1.11624,0.0010892,0.0010892,0.0010892
25,23641.2,0.60132,0.33589,1.02107,0.97819,0.98232,0.99357,0.85566,0.60721,0.311,1.13172,0.0010496,0.0010496,0.0010496
26,24566.3,0.59867,0.32728,1.01098,0.9847,0.98232,0.99397,0.86843,0.58575,0.29,1.11882,0.00101,0.00101,0.00101
27,25484.4,0.59265,0.32601,0.99951,0.97704,0.98485,0.99348,0.85708,0.65424,0.34317,1.13359,0.0009704,0.0009704,0.0009704
28,26434.5,0.58375,0.32317,1.00837,0.97679,0.98737,0.99324,0.87125,0.60609,0.31,1.13047,0.0009308,0.0009308,0.0009308
29,27370.3,0.59362,0.3312,1.00636,0.97262,0.98679,0.99379,0.88793,0.57124,0.29114,1.11133,0.0008912,0.0008912,0.0008912
30,28290.8,0.59247,0.32801,1.00828,0.97269,0.98941,0.99375,0.87959,0.59715,0.30417,1.13305,0.0008516,0.0008516,0.0008516
31,29209.1,0.55959,0.30344,0.98703,0.98776,0.97727,0.9929,0.85588,0.62066,0.29767,1.12191,0.000812,0.000812,0.000812
32,30138.7,0.57041,0.31111,0.99725,0.97236,0.99242,0.9936,0.88077,0.5872,0.28554,1.12849,0.0007724,0.0007724,0.0007724
33,31050,0.54984,0.30642,0.98755,0.98726,0.97727,0.99317,0.88934,0.56557,0.28293,1.10518,0.0007328,0.0007328,0.0007328
34,31965.4,0.55805,0.30571,0.98618,0.98393,0.98485,0.99135,0.88016,0.57293,0.28555,1.10919,0.0006932,0.0006932,0.0006932
35,32886.5,0.56206,0.30578,0.99485,0.96974,0.99242,0.9923,0.88983,0.55525,0.27543,1.09832,0.0006536,0.0006536,0.0006536
36,33810,0.54278,0.29618,0.98444,0.99231,0.97699,0.99411,0.88723,0.56859,0.28136,1.10527,0.000614,0.000614,0.000614
37,34744.1,0.54086,0.2941,0.98656,0.98237,0.98513,0.99248,0.88755,0.5667,0.27179,1.09244,0.0005744,0.0005744,0.0005744
38,35673.3,0.52565,0.28873,0.97239,0.98703,0.97727,0.99336,0.89168,0.54796,0.27141,1.09532,0.0005348,0.0005348,0.0005348
39,36610.7,0.54029,0.29362,0.9869,0.98232,0.98223,0.99347,0.88734,0.5704,0.27345,1.10741,0.0004952,0.0004952,0.0004952
40,37542.3,0.52701,0.28132,0.9807,0.97276,0.99193,0.9929,0.89666,0.54604,0.26359,1.09733,0.0004556,0.0004556,0.0004556
41,38465.4,0.48114,0.26236,0.97202,0.97749,0.98704,0.99337,0.88555,0.56371,0.28053,1.09842,0.000416,0.000416,0.000416
